Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Catégorie,Prix de la petite boisson,Prix de la moyenne boisson,Prix de la grande boisson,Informations du produit
Absinthe 53 %,martini-blanc-15,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,6834885a5b1f089b27f565a2,false,false,Mon May 26 2025 15:27:22 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:28:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:28:30 GMT+0000 (Coordinated Universal Time),Apéritifs,5.5,,,2cl
Amaretto Disaronno 28%,amaretto-disaronno-28,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348cc56afdfa61e0df5626,false,false,Mon May 26 2025 15:46:13 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:46:13 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:46:13 GMT+0000 (Coordinated Universal Time),Digestifs,5,,,2cl
Apérol 11%,aperol-11,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683488c4ee5bc1f3ccc82509,false,false,Mon May 26 2025 15:29:08 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:29:08 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:29:08 GMT+0000 (Coordinated Universal Time),Apéritifs,10.5,,,"4dl. Apérol, Prosseco et eau minérale."
Café viennois,cafe-viennois,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e04fbe75e55d4119008f4,false,false,Fri May 09 2025 13:36:59 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Café,5.2,,,
Café | Espresso,cafe-espresso,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e0476db394a8d0bc46e17,false,false,Fri May 09 2025 13:34:46 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Café,3.6,,,
Cariberg | 1876,cariberg-1876,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68347fd2783da89bfa35d39b,false,false,Mon May 26 2025 14:50:58 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:50:58 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:50:58 GMT+0000 (Coordinated Universal Time),Bières,3.7,4.4,6.4,2dl | 3dl | 5dl
Chardonnay 13 %,chasselas-11,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683482523e2a93024506cda4,false,false,Mon May 26 2025 15:01:38 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:02:29 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:02:29 GMT+0000 (Coordinated Universal Time),Vins,4.9,24,34,1dl | 50cl | 75cl
Chardonnay Angelrath 13%,chardonnay-angelrath-13,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683482f95991b87ac389c32a,false,true,Mon May 26 2025 15:04:25 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:20:20 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:05:29 GMT+0000 (Coordinated Universal Time),Vins,4.9,24,34,"Blanc Neuchâtel. Disponible en 1dl | 7,5dl."
Chocolat Chaud | Froid,chocolat-chaud-froid,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e0575d91b30adb4444501,false,false,Fri May 09 2025 13:39:01 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Chocolat,4.1,,,3dl
Chocolat viennois,chocolat-viennois,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e05be611dada3ab1c0180,false,true,Fri May 09 2025 13:40:14 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:26:58 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Chocolat,5.2,,,
Cinzano rouge 23%,cinzano-rouge-23,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348804304b8711291343e4,false,true,Mon May 26 2025 15:25:56 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:17:00 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:26:44 GMT+0000 (Coordinated Universal Time),Apéritifs,5.3,,,4cl
"Cinzano, Campari 23 %",cinzano-campari-23,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683487c3eb0b13e965e9d2db,false,false,Mon May 26 2025 15:24:51 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:24:51 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:24:51 GMT+0000 (Coordinated Universal Time),Apéritifs,5.3,,,4cl
Coca cola,coca-cola,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e066c834058d30f21855d,false,false,Fri May 09 2025 13:43:08 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.3,3.8,5.7,Disponible en : 2dl | 3dl | 5dl
Coca zéro,coca-zero,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e06813a0d533d755a778e,false,false,Fri May 09 2025 13:43:29 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.3,3.8,5.7,Disponible en : 2dl | 3dl | 5dl
Coca zéro,coca-zero-2,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68347dceb45498b4d59bbf9f,false,false,Mon May 26 2025 14:42:22 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:42:22 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:42:22 GMT+0000 (Coordinated Universal Time),Minérales en bouteille,4.5,,,33cl
Cognac Rémi Martin 40%,cognac-remi-martin-40,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348cab2cd947af9b36de5e,false,false,Mon May 26 2025 15:45:47 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:45:47 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:45:47 GMT+0000 (Coordinated Universal Time),Digestifs,8.5,,,2cl
"Cynar 16,5%",cynar-16-5,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683487d7f675c47d39e166c1,false,false,Mon May 26 2025 15:25:11 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:25:11 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:25:11 GMT+0000 (Coordinated Universal Time),Apéritifs,5.3,,,4cl
Dammann,dammann,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e0527e95df2e39795c5f6,false,false,Fri May 09 2025 13:37:43 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Thé,4.1,,,
Double expresso,double-expresso,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e04ea6497fe9eb21b20a8,false,true,Fri May 09 2025 13:36:42 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:27:56 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Café,4.7,,,
Eau minérale,eau-minerale,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e07d559cc01fc7a842f5a,false,true,Fri May 09 2025 13:49:09 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:24:26 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.2,3.5,4.7,Disponible en : 2dl | 3dl | 5dl
Eau minérale + sirop,eau-minerale-sirop,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e07fa7a2c36db646a4fe8,false,false,Fri May 09 2025 13:49:46 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.4,3.5,5,Disponible en : 2dl | 3dl | 5dl
Erdinger 33cl,erdinger-33cl,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683480632c42ca1815e89703,false,false,Mon May 26 2025 14:53:23 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:53:23 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:53:23 GMT+0000 (Coordinated Universal Time),Bières,4.2,,,Blanche
Erdinger blanche 33cl sans alcool,erdinger-blanche-33cl-sans-alcool,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,6834811c169b79ba8f4fa725,false,false,Mon May 26 2025 14:56:28 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:56:28 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:56:28 GMT+0000 (Coordinated Universal Time),Bières,4.2,,,Blanche sans alcool
Feldschlösschen 33cl,feldschlosschen-33cl,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,683480f21d3a77621fe08c63,false,false,Mon May 26 2025 14:55:46 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:55:46 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:55:46 GMT+0000 (Coordinated Universal Time),Bières,4.5,,,Blanche
Feldschlösschen 33cl sans alcool,feldschlosschen-33cl-sans-alcool,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,6834813c29efcbe619f81ca6,false,true,Mon May 26 2025 14:57:00 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:21:42 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:57:00 GMT+0000 (Coordinated Universal Time),Bières,4.5,,,Blanche sans alcool
"Goron 12,4%",goron-12-4,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,6834849c6cbba08765e49c21,false,false,Mon May 26 2025 15:11:24 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:11:24 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:11:24 GMT+0000 (Coordinated Universal Time),Gravine,3.6,10.5,18,Rosé. Disponible en 1dl | 3dl | 5dl.
"Goron 12,8%",goron-12-8,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348473169b79ba8f5240dd,false,false,Mon May 26 2025 15:10:43 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:10:43 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:10:43 GMT+0000 (Coordinated Universal Time),Gravine,3.6,10.5,18,Rouge. Disponible en 1dl | 3dl | 5dl.
Grappa Fior di Vite 40%,grappa-fior-di-vite-40,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348c8fbd23eb101ed6bd10,false,false,Mon May 26 2025 15:45:19 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:45:19 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:45:19 GMT+0000 (Coordinated Universal Time),Digestifs,5.5,,,2cl
Jus d'orange,jus-dorange,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e086dec7f99ab9a62c748,false,false,Fri May 09 2025 13:51:41 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.7,5.2,,Disponible en Granini : 2dl | 3dl
