Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Catégorie,Prix du petit plat,Prix du plat moyen,Prix du grand plat,Informations du produit
Asortissement en vitrine,asortissement-en-vitrine,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,683474d62f185b522ecbf54d,false,false,Mon May 26 2025 14:04:06 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:05:53 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:49:39 GMT+0000 (Coordinated Universal Time),Dessert,4.5,,,
Calzone Jambon Champigon,calzone-jambon-champigon,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e04047c71d95c6a8a4f3d,false,false,Fri May 09 2025 13:32:52 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Pizzas,14.5,,,
Chorizo,chorizo,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e0283cf3de1283ed9b843,false,false,Fri May 09 2025 13:26:27 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Paninis,9.5,,,
Chorizo Pizzas,chorizo-pizzas,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e03dc7351baf632f329f3,false,false,Fri May 09 2025 13:32:12 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Pizzas,13.5,,,
Chèvre,chevre,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e02c14978987c7870537b,false,false,Fri May 09 2025 13:27:29 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Paninis,10,,,
Chèvre jambon Cru,chevre-jambon-cru,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e02d6bdb2e07cdbde1194,false,false,Fri May 09 2025 13:27:50 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Paninis,10,,,
Croissant au jambon,croissant-au-jambon,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e02fccf3de1283ed9fa8c,false,false,Fri May 09 2025 13:28:28 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Snacks,4,,,
Croque-monsieur,croque-monsieur,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e032fd132ba1284f96ca0,false,false,Fri May 09 2025 13:29:19 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Snacks,4.5,,,
Jambon,jambon,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e026418fa903f2bc96f60,false,false,Fri May 09 2025 13:25:56 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Paninis,9.5,,,
Jambon Cru,jambon-cru,681de9e60cc412ac7b7f3947,681de9cc48a0824ce3e9e03f,681e02a559978c4fef691271,false,false,Fri May 09 2025 13:27:01 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:07:02 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Paninis,9.5,,,
